courseCode,dateAndTime,Session,roomNo,nStudents,rollNo
BT 101,07-05-2023 (14:00 to 16:00),Afternoon,1004,16,"220101001, 220101003, 220101011, 220101078,
220102005, 220102056 , 220102104 , 220102105 ,
220103078 , 220108004 , 220108010 , 220123036 ,
220123040 , 220123057 , 220150009 , 220150029"
BT 101,07-05-2023 (14:00 to 16:00),Afternoon,L1,33,220101002 - 220101037
BT 101,07-05-2023 (14:00 to 16:00),Afternoon,L2,37,220101038 - 220101074
BT 101,07-05-2023 (14:00 to 16:00),Afternoon,L3,37,220101075 - 220101112
BT 101,07-05-2023 (14:00 to 16:00),Afternoon,L4,36,"220101113 - 220101115, 220102001 - 220102034"
BT 101,07-05-2023 (14:00 to 16:00),Afternoon,1G1,24,220102035 - 220102060
BT 101,07-05-2023 (14:00 to 16:00),Afternoon,1G2,24,220102061 - 220102084
BT 101,07-05-2023 (14:00 to 16:00),Afternoon,1002,32,"220102085- 220102103, 220103001- 220103015"
BT 101,07-05-2023 (14:00 to 16:00),Afternoon,1003,32,220103016 - 220103049
BT 101,07-05-2023 (14:00 to 16:00),Afternoon,1005,32,220103050 - 220103086
BT 101,07-05-2023 (14:00 to 16:00),Afternoon,1102,32,220103087 - 220103119
BT 101,07-05-2023 (14:00 to 16:00),Afternoon,1103,32,"220103120- 220103121, 220104001- 220104030"
BT 101,07-05-2023 (14:00 to 16:00),Afternoon,1201,30,220104031 - 220104063
BT 101,07-05-2023 (14:00 to 16:00),Afternoon,1202,30,220104064 - 220104096
BT 101,07-05-2023 (14:00 to 16:00),Afternoon,1205,38,"220104097- 220104116, 220106001- 220106019"
BT 101,07-05-2023 (14:00 to 16:00),Afternoon,2101,25,220106020 - 220106044
BT 101,07-05-2023 (14:00 to 16:00),Afternoon,2102,25,220106045 - 220106070
BT 101,07-05-2023 (14:00 to 16:00),Afternoon,2201,38,"220106071 - 220106093, 220107001- 220107015"
BT 101,07-05-2023 (14:00 to 16:00),Afternoon,2202,30,220107016 - 220107046
BT 101,07-05-2023 (14:00 to 16:00),Afternoon,2203,38,220107047 - 220107085
BT 101,07-05-2023 (14:00 to 16:00),Afternoon,2204,30,"220107086 - 220107098, 220108001 - 220108019"
BT 101,07-05-2023 (14:00 to 16:00),Afternoon,3003,25,220108020 - 220108046
BT 101,07-05-2023 (14:00 to 16:00),Afternoon,3101,25,"220108047 - 220108064, 220121001 - 220121007"
BT 101,07-05-2023 (14:00 to 16:00),Afternoon,3102,25,220121008 - 220121033
BT 101,07-05-2023 (14:00 to 16:00),Afternoon,3202,38,"220121034 - 220121070, 220122001 - 220122003"
BT 101,07-05-2023 (14:00 to 16:00),Afternoon,4001,32,220122004 - 220122037
BT 101,07-05-2023 (14:00 to 16:00),Afternoon,4004,32,"220122038 - 220122066, 220123001 - 220123003"
BT 101,07-05-2023 (14:00 to 16:00),Afternoon,4101,32,220123004 - 220123037
BT 101,07-05-2023 (14:00 to 16:00),Afternoon,4104,32,220123038 - 220123071
BT 101,07-05-2023 (14:00 to 16:00),Afternoon,4G1,24,"220123072 - 220123073, 220150001 - 220150023"
BT 101,07-05-2023 (14:00 to 16:00),Afternoon,4G2,24,"220150024 - 220150030, 220151001 - 220151020"
BT 101,07-05-2023 (14:00 to 16:00),Afternoon,4201,3,Backloggers
CS 101,09-05-2023 (14:00 to 16:00),Afternoon,1004,20,"210103072, 210205054, 220101001, 220101003,
220101011,  220101078, 220102005, 220102056 ,
220102104 , 220102105 , 220103078 , 220108004 ,
220108010 , 220123036 , 220123040 , 220123057 ,
220150009 , 220150029 , 220205001 , 220205004"
CS 101,09-05-2023 (14:00 to 16:00),Afternoon,L1,33,220101002 - 220101037
CS 101,09-05-2023 (14:00 to 16:00),Afternoon,L2,37,220101038 - 220101074
CS 101,09-05-2023 (14:00 to 16:00),Afternoon,L3,37,220101075 - 220101112
CS 101,09-05-2023 (14:00 to 16:00),Afternoon,L4,36,"220101113 - 220101115, 220102001 - 220102034"
CS 101,09-05-2023 (14:00 to 16:00),Afternoon,1G1,24,220102035 - 220102060
CS 101,09-05-2023 (14:00 to 16:00),Afternoon,1G2,24,220102061 - 220102084
CS 101,09-05-2023 (14:00 to 16:00),Afternoon,1002,32,"220102085- 220102103, 220103001- 220103015"
CS 101,09-05-2023 (14:00 to 16:00),Afternoon,1003,32,220103016 - 220103049
CS 101,09-05-2023 (14:00 to 16:00),Afternoon,1005,32,220103050 - 220103086
CS 101,09-05-2023 (14:00 to 16:00),Afternoon,1102,32,220103087 - 220103119
CS 101,09-05-2023 (14:00 to 16:00),Afternoon,1103,32,"220103120- 220103121, 220104001- 220104030"
CS 101,09-05-2023 (14:00 to 16:00),Afternoon,1201,30,220104031 - 220104063
CS 101,09-05-2023 (14:00 to 16:00),Afternoon,1202,30,220104064 - 220104096
CS 101,09-05-2023 (14:00 to 16:00),Afternoon,1205,38,"220104097- 220104116, 220106001- 220106019"
CS 101,09-05-2023 (14:00 to 16:00),Afternoon,2101,25,220106020 - 220106044
CS 101,09-05-2023 (14:00 to 16:00),Afternoon,2102,25,220106045 - 220106070
CS 101,09-05-2023 (14:00 to 16:00),Afternoon,2201,38,"220106071 - 220106093, 220107001- 220107015"
CS 101,09-05-2023 (14:00 to 16:00),Afternoon,2202,30,220107016 - 220107046
CS 101,09-05-2023 (14:00 to 16:00),Afternoon,2203,38,220107047 - 220107085
CS 101,09-05-2023 (14:00 to 16:00),Afternoon,2204,30,"220107086 - 220107098, 220108001 - 220108019"
CS 101,09-05-2023 (14:00 to 16:00),Afternoon,3003,25,220108020 - 220108046
CS 101,09-05-2023 (14:00 to 16:00),Afternoon,3101,25,"220108047 - 220108064, 220121001 - 220121007"
CS 101,09-05-2023 (14:00 to 16:00),Afternoon,3102,25,220121008 - 220121033
CS 101,09-05-2023 (14:00 to 16:00),Afternoon,3202,38,"220121034 - 220121070, 220122001 - 220122003"
CS 101,09-05-2023 (14:00 to 16:00),Afternoon,4001,32,220122004 - 220122037
CS 101,09-05-2023 (14:00 to 16:00),Afternoon,4004,32,"220122038 - 220122066, 220123001 - 220123003"
CS 101,09-05-2023 (14:00 to 16:00),Afternoon,4101,32,220123004 - 220123037
CS 101,09-05-2023 (14:00 to 16:00),Afternoon,4104,32,220123038 - 220123071
CS 101,09-05-2023 (14:00 to 16:00),Afternoon,4G1,24,"220123072 - 220123073, 220150001 - 220150023"
CS 101,09-05-2023 (14:00 to 16:00),Afternoon,4G2,24,"220150024 - 220150030, 220151001 - 220151020"
CS 101,09-05-2023 (14:00 to 16:00),Afternoon,4201,24,220205002 - 220205026
CS 101,09-05-2023 (14:00 to 16:00),Afternoon,4202,24,220205027 - 220205050
CS 101,09-05-2023 (14:00 to 16:00),Afternoon,4204,20,"220205051 - 220205055, + Backloggers"
DD 111,07-05-2023 (14:00 to 16:00),Afternoon,1002,30,220205001 - 220205030
DD 111,07-05-2023 (14:00 to 16:00),Afternoon,1003,25,"220205031 - 220205055, + Backloggers"
DD 112,08-05-2023 (14:00 to 16:00),Afternoon,1002,30,220205001 - 220205030
DD 112,08-05-2023 (14:00 to 16:00),Afternoon,1003,23,220205031 - 220205055
MA 102,08-05-2023 (14:00 to 16:00),Afternoon,1004,20,"210102091, 210103072, 210103084, 210123028,
220101001, 220101003, 220101011, 220101078,
220102005, 220102056 , 220102104 , 220102105 ,
220103078 , 220108004 , 220108010 , 220123036 ,
220123040 , 220123057 , 220150009 , 220150029"
MA 102,08-05-2023 (14:00 to 16:00),Afternoon,L1,33,220101002 - 220101037
MA 102,08-05-2023 (14:00 to 16:00),Afternoon,L2,37,220101038 - 220101074
MA 102,08-05-2023 (14:00 to 16:00),Afternoon,L3,37,220101075 - 220101112
MA 102,08-05-2023 (14:00 to 16:00),Afternoon,L4,36,"220101113 - 220101115, 220102001 - 220102034"
MA 102,08-05-2023 (14:00 to 16:00),Afternoon,1G1,24,220102035 - 220102060
MA 102,08-05-2023 (14:00 to 16:00),Afternoon,1G2,24,220102061 - 220102084
MA 102,08-05-2023 (14:00 to 16:00),Afternoon,1002,32,"220102085- 220102103, 220103001- 220103015"
MA 102,08-05-2023 (14:00 to 16:00),Afternoon,1003,32,220103016 - 220103049
MA 102,08-05-2023 (14:00 to 16:00),Afternoon,1005,32,220103050 - 220103086
MA 102,08-05-2023 (14:00 to 16:00),Afternoon,1102,32,220103087 - 220103119
MA 102,08-05-2023 (14:00 to 16:00),Afternoon,1103,32,"220103120- 220103121, 220104001- 220104030"
MA 102,08-05-2023 (14:00 to 16:00),Afternoon,1201,30,220104031 - 220104063
MA 102,08-05-2023 (14:00 to 16:00),Afternoon,1202,30,220104064 - 220104096
MA 102,08-05-2023 (14:00 to 16:00),Afternoon,1205,38,"220104097- 220104116, 220106001- 220106019"
MA 102,08-05-2023 (14:00 to 16:00),Afternoon,2101,25,220106020 - 220106044
MA 102,08-05-2023 (14:00 to 16:00),Afternoon,2102,25,220106045 - 220106070
MA 102,08-05-2023 (14:00 to 16:00),Afternoon,2201,38,"220106071 - 220106093, 220107001- 220107015"
MA 102,08-05-2023 (14:00 to 16:00),Afternoon,2202,30,220107016 - 220107046
MA 102,08-05-2023 (14:00 to 16:00),Afternoon,2203,38,220107047 - 220107085
MA 102,08-05-2023 (14:00 to 16:00),Afternoon,2204,30,"220107086 - 220107098, 220108001 - 220108019"
MA 102,08-05-2023 (14:00 to 16:00),Afternoon,3003,25,220108020 - 220108046
MA 102,08-05-2023 (14:00 to 16:00),Afternoon,3101,25,"220108047 - 220108064, 220121001 - 220121007"
MA 102,08-05-2023 (14:00 to 16:00),Afternoon,3102,25,220121008 - 220121033
MA 102,08-05-2023 (14:00 to 16:00),Afternoon,3202,38,"220121034 - 220121070, 220122001 - 220122003"
MA 102,08-05-2023 (14:00 to 16:00),Afternoon,4001,32,220122004 - 220122037
